Anaa Airport,AAA
Birmingham-Shuttlesworth International Airport,BHM
Beihan Airport,BHN
Raja Bhoj International Airport,BHO
Bhojpur Airport,BHP
Broken Hill Airport,BHQ
Bharatpur Airport,BHR
Bathurst Airport,BHS
Brighton Downs Airport,BHT
Bhavnagar Airport,BHU
Bahawalpur Airport,BHV
Bhagatanwala Airport,BHW
Birmingham International Airport,BHX
Beihai Airport,BHY
Bastia-Poretta Airport,BIA
Baidoa Airport,BIB
Block Island State Airport,BID
Beatrice Municipal Airport,BIE
Biggs Army Air Field (Fort Bliss),BIF
Allen Army Airfield,BIG
Eastern Sierra Regional Airport,BIH
Enyu Airfield,BII
Biliau Airport,BIJ
Frans Kaisiepo Airport,BIK
Billings Logan International Airport,BIL
South Bimini Airport,BIM
Bamiyan Airport,BIN
Bilbao Airport,BIO
Bulimba Airport,BIP
Biarritz-Anglet-Bayonne Airport,BIQ
Biratnagar Airport,BIR
Bismarck Municipal Airport,BIS
Baitadi Airport,BIT
Bildudalur Airport,BIU
Bria Airport,BIV
Billiluna Airport,BIW
Keesler Air Force Base,BIX
Bisho Airport,BIY
Bimin Airport,BIZ
Soummam Airport,BJA
Bojnord Airport,BJB
Rocky Mountain Metropolitan Airport,BJC
BakkafjÃ¶rÃ°ur Airport,BJD
Baleela Airport,BJE
BÃ¥tsfjord Airport,BJF
Boalang Airport,BJG
Bajhang Airport,BJH
Bemidji Regional Airport,BJI
Wayne County Airport,BJJ
Nangasuri Airport,BJK
Banjul International Airport,BJL
Bujumbura International Airport,BJM
Bermejo Airport,BJO
Estadual Arthur Siqueira Airport,BJP
Bahja Airport,BJQ
Bahir Dar Airport,BJR
Bentota River Waterdrome,BJT
Bajura Airport,BJU
Milas Bodrum International Airport,BJV
Bajawa Soa Airport,BJW
Del BajÃ­o International Airport,BJX
Batajnica Air Base,BJY
Badajoz Airport,BJZ
Bykovo Airport,BKA
Nal Airport,BKB
Buckland Airport,BKC
Stephens County Airport,BKD
Baker City Municipal Airport,BKE
Lake Brooks Seaplane Base,BKF
Branson Airport,BKG
Barking Sands Airport,BKH
Kota Kinabalu International Airport,BKI
BokÃ© Baralande Airport,BKJ
Suvarnabhumi Airport,BKK
Burke Lakefront Airport,BKL
Bakalalan Airport,BKM
Balkanabat Airport,BKN
Modibo Keita International Airport,BKO
Barkly Downs Airport,BKP
Blackall Airport,BKQ
Bokoro Airport,BKR
Fatmawati Soekarno Airport,BKS
Allen C Perkinson Blackstone Army Air Field,BKT
Betioky Airport,BKU
Raleigh County Memorial Airport,BKW
Brookings Regional Airport,BKX
Bukavu Kavumu Airport,BKY
Bukoba Airport,BKZ
General JosÃ© Antonio Anzoategui International Airport,BLA
Panama Pacific International Airport,BLB
Bali Airport,BLC
Boulder City Municipal Airport,BLD
Borlange Airport,BLE
Mercer County Airport,BLF
Belaga Airport,BLG
Blythe Airport,BLH
Bellingham International Airport,BLI
Batna Airport,BLJ
Blackpool International Airport,BLK
Billund Airport,BLL
Monmouth Executive Airport,BLM
Benalla Airport,BLN
Hjaltabakki Airport,BLO
Huallaga Airport,BLP
Bologna Guglielmo Marconi Airport,BLQ
Kempegowda International Airport,BLR
Bollon Airport,BLS
Blackwater Airport,BLT
Blue Canyon Nyack Airport,BLU
Scott AFB/Midamerica Airport,BLV
Beletwene Airport,BLW
Belluno Airport,BLX
Belmullet Aerodrome,BLY
Chileka International Airport,BLZ
Stockholm-Bromma Airport,BMA
Bumbar Airport,BMB
Brigham City Regional Airport,BMC
Belo sur Tsiribihina Airport,BMD
Broome International Airport,BME
Bakouma Airport,BMF
Monroe County Airport,BMG
Bomai Airport,BMH
Central Illinois Regional Airport at Bloomington-Normal,BMI
Baramita Airport,BMJ
Borkum Airport,BMK
Berlin Regional Airport,BML
Bitam Airport,BMM
Bamarni Airport,BMN
Banmaw Airport,BMO
Brampton Island Airport,BMP
Bamburi Airport,BMQ
Baltrum Airport,BMR
SÃ³crates Mariani Bittencourt Airport,BMS
Beaumont Municipal Airport,BMT
Muhammad Salahuddin Airport,BMU
Buon Ma Thuot Airport,BMV
Bordj Badji Mokhtar Airport,BMW
Big Mountain Airport,BMX
Ãle Art - Waala Airport,BMY
Bamu Airport,BMZ
Nashville International Airport,BNA
Boende Airport,BNB
Beni Airport,BNC
Bandar Abbas International Airport,BND
Brisbane International Airport,BNE
Baranof Warm Springs Float and Seaplane Base,BNF
Banning Municipal Airport,BNG
Cape Air Seaplanes on Boston Harbor Seaplane Base,BNH
Benin Airport,BNI
Bonn-Hangelar Airport,BNJ
Ballina Byron Gateway Airport,BNK
Barnwell Regional Airport,BNL
Bodinumu Airport,BNM
BrÃ¸nnÃ¸ysund Airport,BNN
Burns Municipal Airport,BNO
Bannu Airport,BNP
Baganga airport,BNQ
Banfora Airport,BNR
Barinas Airport,BNS
Bundi Airport,BNT
Blumenau Airport,BNU
Boana Airport,BNV
Boone Municipal Airport,BNW
Banja Luka International Airport,BNX
Bellona/Anua Airport,BNY
Banz Airport,BNZ
Boma Airport,BOA
Bora Bora Airport,BOB
Bocas Del Toro International Airport,BOC
Bordeaux-MÃ©rignac Airport,BOD
Boundji Airport,BOE
Bolling Air Force Base,BOF
El Dorado International Airport,BOG
Bournemouth Airport,BOH
Boise Air Terminal/Gowen Field,BOI
Burgas Airport,BOJ
Brookings Airport,BOK
Chhatrapati Shivaji International Airport,BOM
Flamingo International Airport,BON
BodÃ¸ Airport,BOO
Bouar Airport,BOP
Boku Airport,BOQ
Fontaine Airport,BOR
General Edward Lawrence Logan International Airport,BOS
Bosset Airport,BOT
Bourges Airport,BOU
Boang Airport,BOV
Bartow Executive Airport,BOW
Borroloola Airport,BOX
Bobo Dioulasso Airport,BOY
Bozoum Airport,BOZ
